t,error_m,ee_x,ee_y,ee_z,q0,q1,q2,q3,q4,q5,q6
4.833333333333333370e-01,5.300762967822158014e-03,3.095897138118743896e-01,5.662237107753753662e-02,5.160278081893920898e-01,5.698712817232193251e-02,-7.594854299066772230e-01,5.480506539023818208e-02,-2.266070681612038840e+00,9.085361301076409768e-02,1.532046448907279590e+00,7.600738270891079784e-01
5.000000000000000000e-01,5.331505400616132553e-03,3.096028566360473633e-01,5.832951143383979797e-02,5.169595479965209961e-01,5.837694661228601950e-02,-7.577179067307299176e-01,5.604190108142109716e-02,-2.262514312149354723e+00,9.441210637912074433e-02,1.529918909841958552e+00,7.585674694804213081e-01
5.166666666666666075e-01,5.361242605995636921e-03,3.096097707748413086e-01,6.003406271338462830e-02,5.178776979446411133e-01,5.976518507885707904e-02,-7.559538983700545556e-01,5.725340221025909671e-02,-2.258995918572179296e+00,9.799217904656483402e-02,1.527814766481301545e+00,7.570841632323682679e-01
5.333333333333333259e-01,5.389918543394893805e-03,3.096110224723815918e-01,6.173546612262725830e-02,5.187819600105285645e-01,6.115196013304736999e-02,-7.541956622706832425e-01,5.843879387474790188e-02,-2.255519123678490168e+00,1.015932020778845812e-01,1.525739619362677990e+00,7.556296324369398132e-01
5.500000000000000444e-01,5.417455824851378880e-03,3.096072375774383545e-01,6.343304365873336792e-02,5.196720361709594727e-01,6.253699833474316017e-02,-7.524451991858155386e-01,5.959725670806564207e-02,-2.252087122619128579e+00,1.052145563507447534e-01,1.523698683907680929e+00,7.542091442605880491e-01
5.666666666666666519e-01,5.443630650473109921e-03,3.095990121364593506e-01,6.512605398893356323e-02,5.205478072166442871e-01,6.391981372736395273e-02,-7.507042931445193634e-01,6.072800589345472150e-02,-2.248702822712813187e+00,1.088556445547581575e-01,1.521696727429518337e+00,7.528275838032754130e-01
5.833333333333333703e-01,5.468317933319738651e-03,3.095869421958923340e-01,6.681378185749053955e-02,5.214090347290039062e-01,6.529983830696141356e-02,-7.489745341075157992e-01,6.183035096595137364e-02,-2.245368922078636142e+00,1.125158947800258963e-01,1.519738060115007450e+00,7.514895102240067848e-01
5.999999999999999778e-01,5.491439677616856592e-03,3.095715641975402832e-01,6.849556416273117065e-02,5.222554206848144531e-01,6.667650041977370157e-02,-7.472573602375779389e-01,6.290373098362662951e-02,-2.242087958808349768e+00,1.161947503370897167e-01,1.517826530334541513e+00,7.501991838748129915e-01
6.166666666666666963e-01,5.512849137540927653e-03,3.095533847808837891e-01,7.017076760530471802e-02,5.230867862701416016e-01,6.804926147161736993e-02,-7.455540864938821066e-01,6.394773029086509020e-02,-2.238862327598445834e+00,1.198916522344341956e-01,1.515965550852859334e+00,7.489605755165886780e-01
6.333333333333333037e-01,5.532528845044702714e-03,3.095328807830810547e-01,7.183887064456939697e-02,5.239028334617614746e-01,6.941756970182065556e-02,-7.438658891771103843e-01,6.496206615409147456e-02,-2.235694423640950390e+00,1.236061654592476300e-01,1.514158237256312711e+00,7.477773008275206967e-01
