t,error_m,ee_x,ee_y,ee_z,q0,q1,q2,q3,q4,q5,q6
6.533333333333333215e+00,2.030846108646388974e-03,3.081033229827880859e-01,-1.271236687898635864e-01,5.436373949050903320e-01,-1.745359296905258095e-01,-1.787454004223990867e-01,-7.206476397449970150e-01,-2.129856036786938134e+00,1.069631604130379277e+00,7.382134315452834050e-01,7.258987825138413230e-01
6.549999999999999822e+00,2.270770188791504211e-03,3.082765638828277588e-01,-1.280985623598098755e-01,5.435478687286376953e-01,-1.748972511966762067e-01,-1.764294187809846426e-01,-7.228596468021865062e-01,-2.129064854078757119e+00,1.071594399021209565e+00,7.369619438301417969e-01,7.264726929257849797e-01
6.566666666666666430e+00,2.404340928192625227e-03,3.083420991897583008e-01,-1.292069554328918457e-01,5.434462428092956543e-01,-1.756012855321489041e-01,-1.740060886568436105e-01,-7.252124536568488322e-01,-2.128291462985433480e+00,1.073516210652071701e+00,7.353920104321367557e-01,7.272837093269330921e-01
6.583333333333333037e+00,2.538311863006638934e-03,3.084541261196136475e-01,-1.304999440908432007e-01,5.432531237602233887e-01,-1.764629159132841962e-01,-1.713491232589095248e-01,-7.278323129917299017e-01,-2.127387055612998790e+00,1.075390210971098881e+00,7.341230097064357363e-01,7.280139964186311818e-01
6.599999999999999645e+00,2.550876851776812376e-03,3.084606528282165527e-01,-1.317156255245208740e-01,5.431538224220275879e-01,-1.770151510152362939e-01,-1.691675474236946364e-01,-7.306359180141371867e-01,-2.126695163530572863e+00,1.077231396140907460e+00,7.328446800681880369e-01,7.289404552645109003e-01
6.616666666666666252e+00,2.609204960268042984e-03,3.085714578628540039e-01,-1.328853666782379150e-01,5.430671572685241699e-01,-1.777466330456969335e-01,-1.666495415833254001e-01,-7.330465745276213418e-01,-2.125771163238411532e+00,1.079304170529197249e+00,7.314010290883992127e-01,7.299580412808799323e-01
6.633333333333332860e+00,2.683039952546854238e-03,3.086813986301422119e-01,-1.339553594589233398e-01,5.429887175559997559e-01,-1.782125016137754703e-01,-1.643680985285022045e-01,-7.354191462596444406e-01,-2.124909222831628863e+00,1.081199902185190576e+00,7.301427837282121747e-01,7.308439766193765008e-01
6.649999999999999467e+00,2.904982577732847637e-03,3.088689744472503662e-01,-1.350286751985549927e-01,5.427366495132446289e-01,-1.786030094649567468e-01,-1.615715384324418191e-01,-7.379370289413973438e-01,-2.124329508598997052e+00,1.083378591221290321e+00,7.287239414934935100e-01,7.315748786858553565e-01
6.666666666666666963e+00,3.088562926380761589e-03,3.089679479598999023e-01,-1.360887736082077026e-01,5.424348711967468262e-01,-1.789985821674248689e-01,-1.590443162321606985e-01,-7.404872086779725748e-01,-2.123936764214294115e+00,1.085157556416501246e+00,7.274703325484571659e-01,7.326449170786062393e-01
6.683333333333333570e+00,3.148811529345965556e-03,3.089596927165985107e-01,-1.372597068548202515e-01,5.421165227890014648e-01,-1.798950658161691252e-01,-1.564468841194656956e-01,-7.429813256604365090e-01,-2.123613157026801534e+00,1.086891167035970440e+00,7.259514542616219979e-01,7.339922344827133349e-01
6.700000000000000178e+00,3.207891344651096332e-03,3.089898228645324707e-01,-1.384852081537246704e-01,5.417755246162414551e-01,-1.806913583801539047e-01,-1.537329628945748872e-01,-7.456247835624680853e-01,-2.123101270434662347e+00,1.088547470868232780e+00,7.245608491225448144e-01,7.352554303889946574e-01
6.716666666666666785e+00,3.421621607151867535e-03,3.091065883636474609e-01,-1.397094130516052246e-01,5.412701964378356934e-01,-1.815432999021777127e-01,-1.507477638405860798e-01,-7.482050380585368865e-01,-2.122793915310849044e+00,1.090230823838841623e+00,7.234093211691944303e-01,7.365117617771632652e-01
6.733333333333333393e+00,3.459176350496471260e-03,3.090835809707641602e-01,-1.408568322658538818e-01,5.409047603607177734e-01,-1.823864597025722234e-01,-1.483100970073880642e-01,-7.507479611014857834e-01,-2.122763409484593744e+00,1.091996426398257114e+00,7.221359198926619039e-01,7.380088613018926935e-01
6.750000000000000000e+00,3.486631805345664741e-03,3.090139925479888916e-01,-1.421611458063125610e-01,5.404357910156250000e-01,-1.832422105383754440e-01,-1.457527745157748134e-01,-7.537301073584112832e-01,-2.122771318780812599e+00,1.093568374441708402e+00,7.209877569715751333e-01,7.394826123660451778e-01
6.766666666666666607e+00,3.384158516688585104e-03,3.089583516120910645e-01,-1.433593183755874634e-01,5.401646494865417480e-01,-1.839349391316922600e-01,-1.434895447155064840e-01,-7.564231707858865006e-01,-2.122321520221165603e+00,1.095037964258856134e+00,7.198255907920404484e-01,7.412449003858988528e-01
6.783333333333333215e+00,3.507201853557170845e-03,3.089177906513214111e-01,-1.444499790668487549e-01,5.396275520324707031e-01,-1.846588465966461090e-01,-1.408783278401841976e-01,-7.589909253032838254e-01,-2.122514421283551833e+00,1.096462665397183178e+00,7.185382979393167835e-01,7.429492532860983989e-01
6.799999999999999822e+00,3.489712679224924851e-03,3.089401721954345703e-01,-1.454838812351226807e-01,5.392973423004150391e-01,-1.854290975392683116e-01,-1.384427128807213248e-01,-7.612274498774407316e-01,-2.122380952167092882e+00,1.098258578044999156e+00,7.172512145965053154e-01,7.449890969265584584e-01
6.816666666666666430e+00,3.572731310470315252e-03,3.089708089828491211e-01,-1.464493274688720703e-01,5.388410091400146484e-01,-1.858836818700358440e-01,-1.359777776895211288e-01,-7.636130829578192669e-01,-2.122464856980181835e+00,1.099796402104394000e+00,7.160925935490681793e-01,7.466593965360899254e-01
6.833333333333333037e+00,3.559712260705718331e-03,3.089875876903533936e-01,-1.475330293178558350e-01,5.384344458580017090e-01,-1.865062851222940021e-01,-1.335379140813226229e-01,-7.661223390319938931e-01,-2.122408318107880110e+00,1.101450120173745217e+00,7.150278144572451700e-01,7.488118528163218990e-01
6.849999999999999645e+00,3.668728698042409472e-03,3.090192377567291260e-01,-1.485010236501693726e-01,5.378923416137695312e-01,-1.870445566878469190e-01,-1.308401257130418494e-01,-7.685260367191534270e-01,-2.122735345643934401e+00,1.103172318376591354e+00,7.137025216743603240e-01,7.509132865678525004e-01
6.866666666666666252e+00,3.684095357162425147e-03,3.089869916439056396e-01,-1.493722051382064819e-01,5.374268293380737305e-01,-1.876202990415494209e-01,-1.284612299883444442e-01,-7.706790079439206353e-01,-2.123109590039536698e+00,1.104739705757215917e+00,7.123251806729752333e-01,7.525227256174307211e-01
6.883333333333332860e+00,3.694108761410680800e-03,3.090088963508605957e-01,-1.502464264631271362e-01,5.369811654090881348e-01,-1.880372758858832316e-01,-1.259019434040310748e-01,-7.729026713475949384e-01,-2.123270059875429716e+00,1.106405863340476303e+00,7.108604222361449843e-01,7.544600269502077516e-01
6.899999999999999467e+00,3.819033759066631055e-03,3.089673817157745361e-01,-1.510851681232452393e-01,5.363387465476989746e-01,-1.884282411376274613e-01,-1.232032167008551560e-01,-7.752294417478765576e-01,-2.123866263668591881e+00,1.107759631089470398e+00,7.093043251150655815e-01,7.569076606998118573e-01
