t,error_m,ee_x,ee_y,ee_z,q0,q1,q2,q3,q4,q5,q6
6.616666666666666252e+00,3.707338751051309379e-03,3.092005550861358643e-01,-1.323790699243545532e-01,5.475481748580932617e-01,8.447679983422773375e-03,-5.692764504037927109e-01,-2.877046051652358272e-01,-1.996418667805028191e+00,-1.010876411653810619e-01,1.298703511006065625e+00,1.325507896658733031e+00
6.633333333333332860e+00,4.321272865649738656e-03,3.090678155422210693e-01,-1.322828978300094604e-01,5.474148988723754883e-01,8.257843807334547259e-03,-5.705740943281449873e-01,-2.872495056014170434e-01,-1.997904676722034978e+00,-1.014206150261261902e-01,1.299861329633037021e+00,1.325678618660194763e+00
6.649999999999999467e+00,3.604352323860246250e-03,3.085195124149322510e-01,-1.335327029228210449e-01,5.465008020401000977e-01,6.118882864622575760e-03,-5.703092417265199776e-01,-2.889318637259683520e-01,-1.999585229430675071e+00,-1.018616808736118179e-01,1.299934615219358047e+00,1.326908459736322321e+00
6.666666666666666963e+00,3.919272417732256458e-03,3.079358339309692383e-01,-1.343722641468048096e-01,5.467660427093505859e-01,3.877202732833864504e-03,-5.714648372876404148e-01,-2.893062743765166811e-01,-1.999744980056291421e+00,-1.019298138918000168e-01,1.300033199984610865e+00,1.327405225654099796e+00
6.683333333333333570e+00,3.592463818356113944e-03,3.065890669822692871e-01,-1.350431740283966064e-01,5.448836684226989746e-01,2.591237777256722233e-03,-5.737018708759159535e-01,-2.910323197841824805e-01,-2.005498948784302460e+00,-1.025563519294139386e-01,1.299856553960338168e+00,1.328783266707018740e+00
6.700000000000000178e+00,3.927490575987854261e-03,3.059628903865814209e-01,-1.364906877279281616e-01,5.460152626037597656e-01,-8.106607637186350390e-04,-5.745033662447215361e-01,-2.918448775109406812e-01,-2.003206813407441000e+00,-1.022292196198709563e-01,1.299433530982044838e+00,1.329394588315832015e+00
6.716666666666666785e+00,4.596452930771705372e-03,3.060133159160614014e-01,-1.375714391469955444e-01,5.468352437019348145e-01,-4.398128813521038141e-03,-5.735957082097857818e-01,-2.912218475127551498e-01,-2.000770120503057470e+00,-1.021199866772306147e-01,1.299862801121018041e+00,1.327362439843081665e+00
6.733333333333333393e+00,5.286452298210621639e-03,3.056737482547760010e-01,-1.388143450021743774e-01,5.475125908851623535e-01,-8.478292543915313950e-03,-5.738748964432298649e-01,-2.908769641962303254e-01,-1.999521773203742470e+00,-1.019972767327745750e-01,1.300547369451358737e+00,1.325441307798761237e+00
6.750000000000000000e+00,6.105112478823125459e-03,3.056047856807708740e-01,-1.393302679061889648e-01,5.478012561798095703e-01,-1.197924766896590193e-02,-5.742339714461683897e-01,-2.893538831132687617e-01,-1.999561947380161131e+00,-1.016857056495539674e-01,1.301948425520419450e+00,1.322976730746860285e+00
6.766666666666666607e+00,6.686510164494363119e-03,3.061290085315704346e-01,-1.397176235914230347e-01,5.477853417396545410e-01,-1.376967639140256119e-02,-5.734178988315093983e-01,-2.883893505236321264e-01,-1.999476335388530979e+00,-1.018992846898099380e-01,1.304249054952110631e+00,1.322571478576269666e+00
6.783333333333333215e+00,6.960943135543444342e-03,3.070260286331176758e-01,-1.406644582748413086e-01,5.477700233459472656e-01,-1.601396908007872433e-02,-5.705631973643819910e-01,-2.880272382916135299e-01,-1.997771434558651693e+00,-1.023608770818458941e-01,1.306414217130385635e+00,1.323028850492277364e+00
6.799999999999999822e+00,6.390300453156512114e-03,3.071918487548828125e-01,-1.416752338409423828e-01,5.465697050094604492e-01,-1.817537807586568424e-02,-5.691521168111119966e-01,-2.885692985318097925e-01,-1.999728499655280878e+00,-1.031998978661442523e-01,1.308415961874255240e+00,1.323402072062001222e+00
6.816666666666666430e+00,6.124365087263690735e-03,3.071971237659454346e-01,-1.427164673805236816e-01,5.457828044891357422e-01,-2.066806497786898011e-02,-5.684453042396711009e-01,-2.889500612221057030e-01,-2.001241897828624161e+00,-1.038493135732105888e-01,1.310321281101573199e+00,1.323409539470714158e+00
6.833333333333333037e+00,6.374989844334355213e-03,3.069340586662292480e-01,-1.440462470054626465e-01,5.460271835327148438e-01,-2.441372280509953446e-02,-5.681183607053018614e-01,-2.891252362014454791e-01,-2.000503915152361145e+00,-1.038302875228509503e-01,1.311125419308609263e+00,1.321785617500706334e+00
6.849999999999999645e+00,6.622966656968102411e-03,3.063723444938659668e-01,-1.441814452409744263e-01,5.449703931808471680e-01,-2.640003036323665744e-02,-5.696983992018160858e-01,-2.888278499766281926e-01,-2.004394568574538571e+00,-1.033941759182093884e-01,1.312436289372956422e+00,1.321719696612918105e+00
6.866666666666666252e+00,6.162063792882975163e-03,3.055086135864257812e-01,-1.453799903392791748e-01,5.437402129173278809e-01,-2.901087195382786102e-02,-5.705875096729282614e-01,-2.903433889945990498e-01,-2.007778670959305956e+00,-1.038179301364452051e-01,1.313223536753020060e+00,1.323330258816369565e+00
6.883333333333332860e+00,5.896459222731248971e-03,3.046571016311645508e-01,-1.463128626346588135e-01,5.419605970382690430e-01,-3.084552587403626214e-02,-5.712067516543307688e-01,-2.921429623815927634e-01,-2.012186561713576793e+00,-1.041447495625951458e-01,1.313797266401495190e+00,1.325744702844891654e+00
6.899999999999999467e+00,5.229012647922450831e-03,3.045260608196258545e-01,-1.479259729385375977e-01,5.408807396888732910e-01,-3.294773855503164983e-02,-5.697915746738451137e-01,-2.942459576564577794e-01,-2.013502180730445179e+00,-1.051063999808881932e-01,1.315272402807339924e+00,1.328610430932404718e+00
